"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R32","RESC1005X40N","48.641mm","15.113mm","48.641mm","15.113mm","48.641mm","15.613mm","T","270.00","Res-0402-1K"
"Q4","SOT23-3_New","57.531mm","11.938mm","57.531mm","11.938mm","58.481mm","13.088mm","T","270.00","MOSFET - AO3400A"
"Q6","SOT23-3_New","61.341mm","11.938mm","61.341mm","11.938mm","62.291mm","13.088mm","T","270.00","MOSFET - AO3400A"
"HE1","TERM2_3.5mm","53.455mm","6mm","55.205mm","6mm","55.205mm","6mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"EXP2","HDR2X5_exp_Iner_only\","33.2138mm","3.68mm","24.13mm","0.108mm","28.1338mm","2.41mm","T","360.00","Header 5X2"
"EXP1","HDR2X5_exp_Iner_only\","15.0528mm","3.68mm","5.969mm","0.108mm","9.9728mm","2.41mm","T","360.00","Header 5X2"
"Q2","SOT23-3_New","53.721mm","11.938mm","53.721mm","11.938mm","54.671mm","13.088mm","T","270.00","MOSFET - AO3400A"
"C21","CAP_EL_PANASONIC","89.281mm","29.6807mm","89.281mm","32.131mm","89.281mm","27.2804mm","T","180.00","CapE-6.3-100uF-35V"
"C22","CAP_3225-1210","85.082mm","23.241mm","85.082mm","23.241mm","85.082mm","21.741mm","T","90.00","CapC-1210-4.7uF-50V"
"C20","CAP_1005-0402","75.4mm","22.15mm","75.4mm","22.15mm","75.4mm","22.65mm","T","270.00","CapC-0402-100nF"
"C19","CAP_1005-0402","65.2145mm","24.003mm","65.2145mm","24.003mm","65.2145mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C18","CAP_1005-0402","60.071mm","24.003mm","60.071mm","24.003mm","60.071mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C16","CAP_1005-0402","54.991mm","24.003mm","54.991mm","24.003mm","54.991mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C15","CAP_1005-0402","49.9745mm","24.003mm","49.9745mm","24.003mm","49.9745mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
